Screen,Key,EN,PT,IT,Language 4,Language 5,Language 6,Language 7,Language 8
Transformed tons to budgeted - accumulated,TransfBudgeted-NorthingLabel,Transformed tons to budgeted,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-EastiingLabel,Days,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-AddDataTitle,Add data,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-EditDataTitle,Edit data,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-DateLabel,Date,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-InputLabel,Input,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-CommentLabel,Comment,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-CancelButton,CANCEL,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-AddButton,ADD,,,,,,,
Transformed tons to budgeted - accumulated,TransfBudgeted-PopIn-OKButton,OK,,,,,,,
Failure technical time,FailureTechTime-Title,Failure Technical Time / @Line,,,,,,,
Failure technical time,FailureTechTime-TimeframeLabel,Year,,,,,,,
Failure technical time,FailureTechTime-TimeframeContent,@Year,,,,,,,
Failure technical time,FailureTechTime-AddDataButton,ADD DATA,,,,,,,
Failure technical time,FailureTechTime-EditDataButton,EDIT DATA,,,,,,,
Failure technical time,FailureTechTime-LegendRed,Performance below target,,,,,,,
Failure technical time,FailureTechTime-LegendGreen,Performance above target,,,,,,,
Failure technical time,FailureTechTime-NorthingLabel,Purcentage of unplan failure,,,,,,,
Failure technical time,FailureTechTime-EastingLabel,Months,,,,,,,
Failure technical time,FailureTechTime-PopIn-AddDataTitle,Add data,,,,,,,
Failure technical time,FailureTechTime-PopIn-EditDataTitle,Edit data,,,,,,,
Failure technical time,FailureTechTime-PopIn-DateLabel,Month,,,,,,,
Failure technical time,FailureTechTime-PopIn-InputLabel,Input,,,,,,,
Failure technical time,FailureTechTime-PopIn-CommentLabel,Comment,,,,,,,
Failure technical time,FailureTechTime-PopIn-CancelButton,CANCEL,,,,,,,
Failure technical time,FailureTechTime-PopIn-AddButton,ADD,,,,,,,
Failure technical time,FailureTechTime-PopIn-OKButton,OK,,,,,,,
Shifts planning,ShiftsPlanning-Title,Shifts Planning,,,,,,,
Shifts planning,ShiftsPlanning-TimeframeLabel,Weeks,,,,,,,
Shifts planning,ShiftsPlanning-TimeframeContent,@Week1 to @Week4,,,,,,,
Shifts planning,ShiftsPlanning,,,,,,,,
Shifts planning,ShiftsPlanning,,,,,,,,
Shifts planning,ShiftsPlanning,,,,,,,,
Shifts planning,ShiftsPlanning,,,,,,,,
